Leading Cancer Sites,States,Year,Age Groups,Gender,Gender Code,Count,Population,Crude Rate,Region,Age_Flag,Age_max
Melanoma of the Skin,New Hampshire,2018,65-69 years,Female,F,38.0,42471.0,89.5,North-East,Elderly group,69.0
Melanoma of the Skin,New Hampshire,2018,70-74 years,Female,F,30.0,33265.0,90.2,North-East,Elderly group,74.0
Melanoma of the Skin,New Hampshire,2018,85+ years,Female,F,19.0,19543.0,97.2,North-East,Elderly group,89.0
Melanoma of the Skin,New Jersey,2018,25-29 years,Female,F,16.0,282412.0,5.7,North-East,Young age group,29.0
Melanoma of the Skin,New Jersey,2018,30-34 years,Female,F,24.0,281964.0,8.5,North-East,Adult age group,34.0
Melanoma of the Skin,New Jersey,2018,35-39 years,Female,F,33.0,291530.0,11.3,North-East,Adult age group,39.0
Melanoma of the Skin,New Jersey,2018,40-44 years,Female,F,43.0,280333.0,15.3,North-East,Adult age group,44.0
Melanoma of the Skin,New Jersey,2018,45-49 years,Female,F,68.0,306831.0,22.2,North-East,Adult age group,49.0
Melanoma of the Skin,New Jersey,2018,50-54 years,Female,F,90.0,325195.0,27.7,North-East,Middle age group,54.0
Melanoma of the Skin,New Jersey,2018,55-59 years,Female,F,91.0,331265.0,27.5,North-East,Middle age group,59.0
Melanoma of the Skin,New Jersey,2018,60-64 years ,Female,F,130.0,298300.0,43.6,North-East,Middle age group,64.0
Melanoma of the Skin,New Jersey,2018,65-69 years,Female,F,122.0,241477.0,50.5,North-East,Elderly group,69.0
Melanoma of the Skin,New Jersey,2018,70-74 years,Female,F,85.0,196837.0,43.2,North-East,Elderly group,74.0
Melanoma of the Skin,New Jersey,2018,75-79 years,Female,F,80.0,144512.0,55.4,North-East,Elderly group,79.0
Melanoma of the Skin,New Jersey,2018,80-84 years,Female,F,68.0,103024.0,66.0,North-East,Elderly group,84.0
Melanoma of the Skin,New Jersey,2018,85+ years,Female,F,104.0,134231.0,77.5,North-East,Elderly group,89.0
Melanoma of the Skin,New Mexico,2018,55-59 years,Female,F,26.0,71929.0,36.1,West,Middle age group,59.0
Melanoma of the Skin,New Mexico,2018,60-64 years ,Female,F,20.0,71038.0,28.2,West,Middle age group,64.0
Melanoma of the Skin,New Mexico,2018,65-69 years,Female,F,19.0,64407.0,29.5,West,Elderly group,69.0
Melanoma of the Skin,New Mexico,2018,75-79 years,Female,F,17.0,35008.0,48.6,West,Elderly group,79.0
Melanoma of the Skin,New York,2018,20-24 years,Female,F,22.0,649128.0,3.4,North-East,Young age group,24.0
Melanoma of the Skin,New York,2018,25-29 years,Female,F,32.0,740234.0,4.3,North-East,Young age group,29.0
Melanoma of the Skin,New York,2018,30-34 years,Female,F,71.0,696332.0,10.2,North-East,Adult age group,34.0
Melanoma of the Skin,New York,2018,35-39 years,Female,F,69.0,642899.0,10.7,North-East,Adult age group,39.0
Melanoma of the Skin,New York,2018,40-44 years,Female,F,78.0,588758.0,13.2,North-East,Adult age group,44.0
Melanoma of the Skin,New York,2018,45-49 years,Female,F,97.0,634792.0,15.3,North-East,Adult age group,49.0
Melanoma of the Skin,New York,2018,50-54 years,Female,F,135.0,676985.0,19.9,North-East,Middle age group,54.0
Melanoma of the Skin,New York,2018,55-59 years,Female,F,187.0,704047.0,26.6,North-East,Middle age group,59.0
Melanoma of the Skin,New York,2018,60-64 years ,Female,F,245.0,646803.0,37.9,North-East,Middle age group,64.0
Melanoma of the Skin,New York,2018,65-69 years,Female,F,212.0,545110.0,38.9,North-East,Elderly group,69.0
Melanoma of the Skin,New York,2018,70-74 years,Female,F,209.0,436405.0,47.9,North-East,Elderly group,74.0
Melanoma of the Skin,New York,2018,75-79 years,Female,F,164.0,320704.0,51.1,North-East,Elderly group,79.0
Melanoma of the Skin,New York,2018,80-84 years,Female,F,133.0,232201.0,57.3,North-East,Elderly group,84.0
Melanoma of the Skin,New York,2018,85+ years,Female,F,180.0,302514.0,59.5,North-East,Elderly group,89.0
Melanoma of the Skin,North Carolina,2018,25-29 years,Female,F,29.0,362557.0,8.0,South,Young age group,29.0
Melanoma of the Skin,North Carolina,2018,30-34 years,Female,F,41.0,337842.0,12.1,South,Adult age group,34.0
Melanoma of the Skin,North Carolina,2018,35-39 years,Female,F,49.0,337417.0,14.5,South,Adult age group,39.0
Melanoma of the Skin,North Carolina,2018,40-44 years,Female,F,70.0,327390.0,21.4,South,Adult age group,44.0
Melanoma of the Skin,North Carolina,2018,45-49 years,Female,F,99.0,356822.0,27.7,South,Adult age group,49.0
Melanoma of the Skin,North Carolina,2018,50-54 years,Female,F,118.0,348926.0,33.8,South,Middle age group,54.0
Melanoma of the Skin,North Carolina,2018,55-59 years,Female,F,144.0,363006.0,39.7,South,Middle age group,59.0
Melanoma of the Skin,North Carolina,2018,60-64 years ,Female,F,129.0,343367.0,37.6,South,Middle age group,64.0
Melanoma of the Skin,North Carolina,2018,65-69 years,Female,F,133.0,302563.0,44.0,South,Elderly group,69.0
Melanoma of the Skin,North Carolina,2018,70-74 years,Female,F,141.0,243858.0,57.8,South,Elderly group,74.0
Melanoma of the Skin,North Carolina,2018,75-79 years,Female,F,128.0,167112.0,76.6,South,Elderly group,79.0
Melanoma of the Skin,North Carolina,2018,80-84 years,Female,F,84.0,113545.0,74.0,South,Elderly group,84.0
Melanoma of the Skin,North Carolina,2018,85+ years,Female,F,56.0,122796.0,45.6,South,Elderly group,89.0
Melanoma of the Skin,Ohio,2018,25-29 years,Female,F,33.0,398471.0,8.3,Mid-West,Young age group,29.0
Melanoma of the Skin,Ohio,2018,30-34 years,Female,F,83.0,367425.0,22.6,Mid-West,Adult age group,34.0
Melanoma of the Skin,Ohio,2018,35-39 years,Female,F,85.0,363923.0,23.4,Mid-West,Adult age group,39.0
Melanoma of the Skin,Ohio,2018,40-44 years,Female,F,91.0,335730.0,27.1,Mid-West,Adult age group,44.0
Melanoma of the Skin,Ohio,2018,45-49 years,Female,F,116.0,370337.0,31.3,Mid-West,Adult age group,49.0
Melanoma of the Skin,Ohio,2018,50-54 years,Female,F,133.0,381445.0,34.9,Mid-West,Middle age group,54.0
Melanoma of the Skin,Ohio,2018,55-59 years,Female,F,173.0,421876.0,41.0,Mid-West,Middle age group,59.0
Melanoma of the Skin,Ohio,2018,60-64 years ,Female,F,177.0,409781.0,43.2,Mid-West,Middle age group,64.0
Melanoma of the Skin,Ohio,2018,65-69 years,Female,F,199.0,344812.0,57.7,Mid-West,Elderly group,69.0
Melanoma of the Skin,Ohio,2018,70-74 years,Female,F,156.0,266484.0,58.5,Mid-West,Elderly group,74.0
Melanoma of the Skin,Ohio,2018,75-79 years,Female,F,99.0,196200.0,50.5,Mid-West,Elderly group,79.0
Melanoma of the Skin,Ohio,2018,80-84 years,Female,F,94.0,140035.0,67.1,Mid-West,Elderly group,84.0
Melanoma of the Skin,Ohio,2018,85+ years,Female,F,96.0,167586.0,57.3,Mid-West,Elderly group,89.0
Melanoma of the Skin,Oklahoma,2018,30-34 years,Female,F,16.0,129831.0,12.3,South,Adult age group,34.0
Melanoma of the Skin,Oklahoma,2018,35-39 years,Female,F,21.0,130200.0,16.1,South,Adult age group,39.0
Melanoma of the Skin,Oklahoma,2018,40-44 years,Female,F,23.0,114051.0,20.2,South,Adult age group,44.0
Melanoma of the Skin,Oklahoma,2018,45-49 years,Female,F,27.0,115966.0,23.3,South,Adult age group,49.0
Melanoma of the Skin,Oklahoma,2018,50-54 years,Female,F,28.0,115198.0,24.3,South,Middle age group,54.0
Melanoma of the Skin,Oklahoma,2018,55-59 years,Female,F,21.0,130551.0,16.1,South,Middle age group,59.0
Melanoma of the Skin,Oklahoma,2018,60-64 years ,Female,F,44.0,124046.0,35.5,South,Middle age group,64.0
Melanoma of the Skin,Oklahoma,2018,65-69 years,Female,F,43.0,105471.0,40.8,South,Elderly group,69.0
Melanoma of the Skin,Oklahoma,2018,70-74 years,Female,F,33.0,85477.0,38.6,South,Elderly group,74.0
Melanoma of the Skin,Oklahoma,2018,75-79 years,Female,F,34.0,62338.0,54.5,South,Elderly group,79.0
Melanoma of the Skin,Oklahoma,2018,80-84 years,Female,F,21.0,42880.0,49.0,South,Elderly group,84.0
Melanoma of the Skin,Oklahoma,2018,85+ years,Female,F,32.0,46673.0,68.6,South,Elderly group,89.0
Melanoma of the Skin,Oregon,2018,30-34 years,Female,F,21.0,145345.0,14.4,West,Adult age group,34.0
Melanoma of the Skin,Oregon,2018,35-39 years,Female,F,26.0,146102.0,17.8,West,Adult age group,39.0
Melanoma of the Skin,Oregon,2018,40-44 years,Female,F,28.0,130641.0,21.4,West,Adult age group,44.0
Melanoma of the Skin,Oregon,2018,45-49 years,Female,F,37.0,130527.0,28.3,West,Adult age group,49.0
Melanoma of the Skin,Oregon,2018,50-54 years,Female,F,38.0,124195.0,30.6,West,Middle age group,54.0
Melanoma of the Skin,Oregon,2018,55-59 years,Female,F,52.0,139062.0,37.4,West,Middle age group,59.0
Melanoma of the Skin,Oregon,2018,60-64 years ,Female,F,56.0,143694.0,39.0,West,Middle age group,64.0
Melanoma of the Skin,Oregon,2018,65-69 years,Female,F,79.0,132617.0,59.6,West,Elderly group,69.0
Melanoma of the Skin,Oregon,2018,70-74 years,Female,F,62.0,102056.0,60.8,West,Elderly group,74.0
Melanoma of the Skin,Oregon,2018,75-79 years,Female,F,30.0,68018.0,44.1,West,Elderly group,79.0
Melanoma of the Skin,Oregon,2018,80-84 years,Female,F,25.0,43535.0,57.4,West,Elderly group,84.0
Melanoma of the Skin,Oregon,2018,85+ years,Female,F,27.0,52774.0,51.2,West,Elderly group,89.0
Melanoma of the Skin,Pennsylvania,2018,20-24 years,Female,F,19.0,399863.0,4.8,North-East,Young age group,24.0
Melanoma of the Skin,Pennsylvania,2018,25-29 years,Female,F,31.0,424910.0,7.3,North-East,Young age group,29.0
Melanoma of the Skin,Pennsylvania,2018,30-34 years,Female,F,51.0,409661.0,12.4,North-East,Adult age group,34.0
Melanoma of the Skin,Pennsylvania,2018,35-39 years,Female,F,70.0,391012.0,17.9,North-East,Adult age group,39.0
Melanoma of the Skin,Pennsylvania,2018,40-44 years,Female,F,69.0,359684.0,19.2,North-East,Adult age group,44.0
Melanoma of the Skin,Pennsylvania,2018,45-49 years,Female,F,93.0,402271.0,23.1,North-East,Adult age group,49.0
Melanoma of the Skin,Pennsylvania,2018,50-54 years,Female,F,117.0,434376.0,26.9,North-East,Middle age group,54.0
Melanoma of the Skin,Pennsylvania,2018,55-59 years,Female,F,152.0,473108.0,32.1,North-East,Middle age group,59.0
Melanoma of the Skin,Pennsylvania,2018,60-64 years ,Female,F,163.0,459508.0,35.5,North-East,Middle age group,64.0
Melanoma of the Skin,Pennsylvania,2018,65-69 years,Female,F,149.0,387838.0,38.4,North-East,Elderly group,69.0
Melanoma of the Skin,Pennsylvania,2018,70-74 years,Female,F,164.0,307970.0,53.3,North-East,Elderly group,74.0
Melanoma of the Skin,Pennsylvania,2018,75-79 years,Female,F,138.0,227858.0,60.6,North-East,Elderly group,79.0
Melanoma of the Skin,Pennsylvania,2018,80-84 years,Female,F,107.0,167391.0,63.9,North-East,Elderly group,84.0
Melanoma of the Skin,Pennsylvania,2018,85+ years,Female,F,122.0,221421.0,55.1,North-East,Elderly group,89.0
Melanoma of the Skin,Rhode Island,2018,70-74 years,Female,F,16.0,24179.0,66.2,North-East,Elderly group,74.0
Melanoma of the Skin,Rhode Island,2018,80-84 years,Female,F,16.0,12509.0,127.9,North-East,Elderly group,84.0
Melanoma of the Skin,South Carolina,2018,30-34 years,Female,F,23.0,163017.0,14.1,South,Adult age group,34.0
Melanoma of the Skin,South Carolina,2018,35-39 years,Female,F,22.0,162609.0,13.5,South,Adult age group,39.0
Melanoma of the Skin,South Carolina,2018,40-44 years,Female,F,41.0,152139.0,26.9,South,Adult age group,44.0
Melanoma of the Skin,South Carolina,2018,45-49 years,Female,F,36.0,165334.0,21.8,South,Adult age group,49.0
Melanoma of the Skin,South Carolina,2018,50-54 years,Female,F,38.0,169945.0,22.4,South,Middle age group,54.0
Melanoma of the Skin,South Carolina,2018,55-59 years,Female,F,81.0,181309.0,44.7,South,Middle age group,59.0
Melanoma of the Skin,South Carolina,2018,60-64 years ,Female,F,68.0,179037.0,38.0,South,Middle age group,64.0
Melanoma of the Skin,South Carolina,2018,65-69 years,Female,F,75.0,163817.0,45.8,South,Elderly group,69.0
Melanoma of the Skin,South Carolina,2018,70-74 years,Female,F,62.0,132628.0,46.7,South,Elderly group,74.0
Melanoma of the Skin,South Carolina,2018,75-79 years,Female,F,60.0,89242.0,67.2,South,Elderly group,79.0
Melanoma of the Skin,South Carolina,2018,80-84 years,Female,F,32.0,56453.0,56.7,South,Elderly group,84.0
Melanoma of the Skin,South Carolina,2018,85+ years,Female,F,21.0,57641.0,36.4,South,Elderly group,89.0
Melanoma of the Skin,South Dakota,2018,55-59 years,Female,F,16.0,29847.0,53.6,Mid-West,Middle age group,59.0
Melanoma of the Skin,South Dakota,2018,65-69 years,Female,F,17.0,25019.0,67.9,Mid-West,Elderly group,69.0
Melanoma of the Skin,Tennessee,2018,30-34 years,Female,F,17.0,222642.0,7.6,South,Adult age group,34.0
Melanoma of the Skin,Tennessee,2018,35-39 years,Female,F,30.0,219346.0,13.7,South,Adult age group,39.0
Melanoma of the Skin,Tennessee,2018,40-44 years,Female,F,27.0,207052.0,13.0,South,Adult age group,44.0
Melanoma of the Skin,Tennessee,2018,45-49 years,Female,F,49.0,225239.0,21.8,South,Adult age group,49.0
Melanoma of the Skin,Tennessee,2018,50-54 years,Female,F,54.0,225104.0,24.0,South,Middle age group,54.0
Melanoma of the Skin,Tennessee,2018,55-59 years,Female,F,77.0,237259.0,32.5,South,Middle age group,59.0
Melanoma of the Skin,Tennessee,2018,60-64 years ,Female,F,66.0,226418.0,29.1,South,Middle age group,64.0
Melanoma of the Skin,Tennessee,2018,65-69 years,Female,F,86.0,195797.0,43.9,South,Elderly group,69.0
Melanoma of the Skin,Tennessee,2018,70-74 years,Female,F,62.0,157672.0,39.3,South,Elderly group,74.0
Melanoma of the Skin,Tennessee,2018,75-79 years,Female,F,43.0,110776.0,38.8,South,Elderly group,79.0
Melanoma of the Skin,Tennessee,2018,80-84 years,Female,F,38.0,74293.0,51.1,South,Elderly group,84.0
Melanoma of the Skin,Tennessee,2018,85+ years,Female,F,37.0,79327.0,46.6,South,Elderly group,89.0
Melanoma of the Skin,Texas,2018,20-24 years,Female,F,29.0,965985.0,3.0,South,Young age group,24.0
Melanoma of the Skin,Texas,2018,25-29 years,Female,F,42.0,1053553.0,4.0,South,Young age group,29.0
Melanoma of the Skin,Texas,2018,30-34 years,Female,F,85.0,1020463.0,8.3,South,Adult age group,34.0
Melanoma of the Skin,Texas,2018,35-39 years,Female,F,105.0,1007186.0,10.4,South,Adult age group,39.0
Melanoma of the Skin,Texas,2018,40-44 years,Female,F,96.0,924786.0,10.4,South,Adult age group,44.0
Melanoma of the Skin,Texas,2018,45-49 years,Female,F,123.0,927092.0,13.3,South,Adult age group,49.0
Melanoma of the Skin,Texas,2018,50-54 years,Female,F,139.0,857165.0,16.2,South,Middle age group,54.0
Melanoma of the Skin,Texas,2018,55-59 years,Female,F,156.0,871539.0,17.9,South,Middle age group,59.0
Melanoma of the Skin,Texas,2018,60-64 years ,Female,F,164.0,787728.0,20.8,South,Middle age group,64.0
Melanoma of the Skin,Texas,2018,65-69 years,Female,F,160.0,648838.0,24.7,South,Elderly group,69.0
Melanoma of the Skin,Texas,2018,70-74 years,Female,F,137.0,502237.0,27.3,South,Elderly group,74.0
Melanoma of the Skin,Texas,2018,75-79 years,Female,F,114.0,345625.0,33.0,South,Elderly group,79.0
Melanoma of the Skin,Texas,2018,80-84 years,Female,F,84.0,236256.0,35.6,South,Elderly group,84.0
Melanoma of the Skin,Texas,2018,85+ years,Female,F,88.0,254632.0,34.6,South,Elderly group,89.0
Melanoma of the Skin,Utah,2018,30-34 years,Female,F,26.0,107674.0,24.1,West,Adult age group,34.0
Melanoma of the Skin,Utah,2018,35-39 years,Female,F,31.0,113910.0,27.2,West,Adult age group,39.0
Melanoma of the Skin,Utah,2018,40-44 years,Female,F,42.0,99773.0,42.1,West,Adult age group,44.0
Melanoma of the Skin,Utah,2018,45-49 years,Female,F,35.0,84780.0,41.3,West,Adult age group,49.0
Melanoma of the Skin,Utah,2018,50-54 years,Female,F,40.0,74070.0,54.0,West,Middle age group,54.0
Melanoma of the Skin,Utah,2018,55-59 years,Female,F,48.0,78973.0,60.8,West,Middle age group,59.0
Melanoma of the Skin,Utah,2018,60-64 years ,Female,F,58.0,73890.0,78.5,West,Middle age group,64.0
Melanoma of the Skin,Utah,2018,65-69 years,Female,F,49.0,61804.0,79.3,West,Elderly group,69.0
Melanoma of the Skin,Utah,2018,70-74 years,Female,F,45.0,47204.0,95.3,West,Elderly group,74.0
Melanoma of the Skin,Utah,2018,75-79 years,Female,F,29.0,33153.0,87.5,West,Elderly group,79.0
Melanoma of the Skin,Utah,2018,80-84 years,Female,F,24.0,22284.0,107.7,West,Elderly group,84.0
Melanoma of the Skin,Utah,2018,85+ years,Female,F,23.0,22023.0,104.4,West,Elderly group,89.0
Melanoma of the Skin,Vermont,2018,60-64 years ,Female,F,21.0,24390.0,86.1,North-East,Middle age group,64.0
Melanoma of the Skin,Vermont,2018,65-69 years,Female,F,18.0,21356.0,84.3,North-East,Elderly group,69.0
Melanoma of the Skin,Vermont,2018,70-74 years,Female,F,17.0,16359.0,103.9,North-East,Elderly group,74.0
Melanoma of the Skin,Virginia,2018,25-29 years,Female,F,23.0,295735.0,7.8,South,Young age group,29.0
Melanoma of the Skin,Virginia,2018,30-34 years,Female,F,28.0,290652.0,9.6,South,Adult age group,34.0
Melanoma of the Skin,Virginia,2018,35-39 years,Female,F,37.0,289397.0,12.8,South,Adult age group,39.0
Melanoma of the Skin,Virginia,2018,40-44 years,Female,F,36.0,264858.0,13.6,South,Adult age group,44.0
Melanoma of the Skin,Virginia,2018,45-49 years,Female,F,43.0,283024.0,15.2,South,Adult age group,49.0
Melanoma of the Skin,Virginia,2018,50-54 years,Female,F,92.0,290054.0,31.7,South,Middle age group,54.0
Melanoma of the Skin,Virginia,2018,55-59 years,Female,F,78.0,299679.0,26.0,South,Middle age group,59.0
Melanoma of the Skin,Virginia,2018,60-64 years ,Female,F,99.0,273902.0,36.1,South,Middle age group,64.0
Melanoma of the Skin,Virginia,2018,65-69 years,Female,F,101.0,230413.0,43.8,South,Elderly group,69.0
Melanoma of the Skin,Virginia,2018,70-74 years,Female,F,90.0,186534.0,48.2,South,Elderly group,74.0
Melanoma of the Skin,Virginia,2018,75-79 years,Female,F,65.0,130272.0,49.9,South,Elderly group,79.0
Melanoma of the Skin,Virginia,2018,80-84 years,Female,F,47.0,86776.0,54.2,South,Elderly group,84.0
Melanoma of the Skin,Virginia,2018,85+ years,Female,F,49.0,98385.0,49.8,South,Elderly group,89.0
Melanoma of the Skin,Washington,2018,25-29 years,Female,F,29.0,282110.0,10.3,West,Young age group,29.0
Melanoma of the Skin,Washington,2018,30-34 years,Female,F,38.0,273754.0,13.9,West,Adult age group,34.0
Melanoma of the Skin,Washington,2018,35-39 years,Female,F,42.0,262999.0,16.0,West,Adult age group,39.0
Melanoma of the Skin,Washington,2018,40-44 years,Female,F,45.0,230190.0,19.5,West,Adult age group,44.0
Melanoma of the Skin,Washington,2018,45-49 years,Female,F,69.0,234650.0,29.4,West,Adult age group,49.0
Melanoma of the Skin,Washington,2018,50-54 years,Female,F,76.0,229065.0,33.2,West,Middle age group,54.0
Melanoma of the Skin,Washington,2018,55-59 years,Female,F,94.0,248951.0,37.8,West,Middle age group,59.0
Melanoma of the Skin,Washington,2018,60-64 years ,Female,F,109.0,242035.0,45.0,West,Middle age group,64.0
Melanoma of the Skin,Washington,2018,65-69 years,Female,F,142.0,209677.0,67.7,West,Elderly group,69.0
Melanoma of the Skin,Washington,2018,70-74 years,Female,F,97.0,161986.0,59.9,West,Elderly group,74.0
Melanoma of the Skin,Washington,2018,75-79 years,Female,F,61.0,105663.0,57.7,West,Elderly group,79.0
Melanoma of the Skin,Washington,2018,80-84 years,Female,F,47.0,69464.0,67.7,West,Elderly group,84.0
Melanoma of the Skin,Washington,2018,85+ years,Female,F,55.0,84363.0,65.2,West,Elderly group,89.0
Melanoma of the Skin,West Virginia,2018,50-54 years,Female,F,18.0,58984.0,30.5,South,Middle age group,54.0
Melanoma of the Skin,West Virginia,2018,55-59 years,Female,F,17.0,65470.0,26.0,South,Middle age group,59.0
Melanoma of the Skin,West Virginia,2018,60-64 years ,Female,F,26.0,67119.0,38.7,South,Middle age group,64.0
Melanoma of the Skin,West Virginia,2018,65-69 years,Female,F,23.0,62252.0,36.9,South,Elderly group,69.0
Melanoma of the Skin,West Virginia,2018,70-74 years,Female,F,32.0,48440.0,66.1,South,Elderly group,74.0
Melanoma of the Skin,West Virginia,2018,80-84 years,Female,F,18.0,24507.0,73.4,South,Elderly group,84.0
Melanoma of the Skin,Wisconsin,2018,25-29 years,Female,F,16.0,181272.0,8.8,Mid-West,Young age group,29.0
Melanoma of the Skin,Wisconsin,2018,30-34 years,Female,F,23.0,178375.0,12.9,Mid-West,Adult age group,34.0
Melanoma of the Skin,Wisconsin,2018,35-39 years,Female,F,28.0,183410.0,15.3,Mid-West,Adult age group,39.0
Melanoma of the Skin,Wisconsin,2018,40-44 years,Female,F,46.0,164445.0,28.0,Mid-West,Adult age group,44.0
Melanoma of the Skin,Wisconsin,2018,45-49 years,Female,F,54.0,174736.0,30.9,Mid-West,Adult age group,49.0
Melanoma of the Skin,Wisconsin,2018,50-54 years,Female,F,76.0,192798.0,39.4,Mid-West,Middle age group,54.0
Melanoma of the Skin,Wisconsin,2018,55-59 years,Female,F,67.0,215288.0,31.1,Mid-West,Middle age group,59.0
Melanoma of the Skin,Wisconsin,2018,60-64 years ,Female,F,89.0,199931.0,44.5,Mid-West,Middle age group,64.0
Melanoma of the Skin,Wisconsin,2018,65-69 years,Female,F,75.0,168014.0,44.6,Mid-West,Elderly group,69.0
Melanoma of the Skin,Wisconsin,2018,70-74 years,Female,F,69.0,125807.0,54.8,Mid-West,Elderly group,74.0
Melanoma of the Skin,Wisconsin,2018,75-79 years,Female,F,49.0,91651.0,53.5,Mid-West,Elderly group,79.0
Melanoma of the Skin,Wisconsin,2018,80-84 years,Female,F,50.0,65693.0,76.1,Mid-West,Elderly group,84.0
Melanoma of the Skin,Wisconsin,2018,85+ years,Female,F,41.0,82887.0,49.5,Mid-West,Elderly group,89.0
Myeloma,Alabama,2018,55-59 years,Female,F,19.0,175201.0,10.8,South,Middle age group,59.0
Myeloma,Alabama,2018,60-64 years ,Female,F,29.0,168342.0,17.2,South,Middle age group,64.0
Myeloma,Alabama,2018,65-69 years,Female,F,30.0,145302.0,20.6,South,Elderly group,69.0
Myeloma,Alabama,2018,70-74 years,Female,F,39.0,117686.0,33.1,South,Elderly group,74.0
Myeloma,Alabama,2018,75-79 years,Female,F,26.0,84846.0,30.6,South,Elderly group,79.0
Myeloma,Alabama,2018,80-84 years,Female,F,19.0,58233.0,32.6,South,Elderly group,84.0
Myeloma,Alabama,2018,85+ years,Female,F,23.0,60008.0,38.3,South,Elderly group,89.0
Myeloma,Arizona,2018,55-59 years,Female,F,24.0,227767.0,10.5,West,Middle age group,59.0
Myeloma,Arizona,2018,60-64 years ,Female,F,16.0,224349.0,7.1,West,Middle age group,64.0
Myeloma,Arizona,2018,65-69 years,Female,F,41.0,208318.0,19.7,West,Elderly group,69.0
Myeloma,Arizona,2018,70-74 years,Female,F,31.0,178478.0,17.4,West,Elderly group,74.0
Myeloma,Arizona,2018,75-79 years,Female,F,34.0,127735.0,26.6,West,Elderly group,79.0
Myeloma,Arizona,2018,80-84 years,Female,F,22.0,80665.0,27.3,West,Elderly group,84.0
Myeloma,Arkansas,2018,55-59 years,Female,F,18.0,101612.0,17.7,South,Middle age group,59.0
Myeloma,Arkansas,2018,60-64 years ,Female,F,19.0,97622.0,19.5,South,Middle age group,64.0
Myeloma,Arkansas,2018,65-69 years,Female,F,22.0,86261.0,25.5,South,Elderly group,69.0
Myeloma,Arkansas,2018,70-74 years,Female,F,25.0,71161.0,35.1,South,Elderly group,74.0
Myeloma,Arkansas,2018,75-79 years,Female,F,17.0,52169.0,32.6,South,Elderly group,79.0
Myeloma,California,2018,40-44 years,Female,F,31.0,1242502.0,2.5,West,Adult age group,44.0
Myeloma,California,2018,45-49 years,Female,F,40.0,1282226.0,3.1,West,Adult age group,49.0
Myeloma,California,2018,50-54 years,Female,F,85.0,1251079.0,6.8,West,Middle age group,54.0
Myeloma,California,2018,55-59 years,Female,F,93.0,1277279.0,7.3,West,Middle age group,59.0
Myeloma,California,2018,60-64 years ,Female,F,153.0,1168986.0,13.1,West,Middle age group,64.0
Myeloma,California,2018,65-69 years,Female,F,184.0,978836.0,18.8,West,Elderly group,69.0
Myeloma,California,2018,70-74 years,Female,F,176.0,769806.0,22.9,West,Elderly group,74.0
Myeloma,California,2018,75-79 years,Female,F,163.0,540682.0,30.1,West,Elderly group,79.0
Myeloma,California,2018,80-84 years,Female,F,95.0,380970.0,24.9,West,Elderly group,84.0
Myeloma,California,2018,85+ years,Female,F,104.0,463829.0,22.4,West,Elderly group,89.0
Myeloma,Colorado,2018,60-64 years ,Female,F,24.0,176783.0,13.6,West,Middle age group,64.0
Myeloma,Colorado,2018,65-69 years,Female,F,27.0,149767.0,18.0,West,Elderly group,69.0
Myeloma,Colorado,2018,70-74 years,Female,F,31.0,111105.0,27.9,West,Elderly group,74.0
Myeloma,Connecticut,2018,60-64 years ,Female,F,18.0,125449.0,14.3,North-East,Middle age group,64.0
Myeloma,Connecticut,2018,65-69 years,Female,F,29.0,100828.0,28.8,North-East,Elderly group,69.0
Myeloma,Connecticut,2018,70-74 years,Female,F,19.0,83127.0,22.9,North-East,Elderly group,74.0
Myeloma,Connecticut,2018,75-79 years,Female,F,19.0,60142.0,31.6,North-East,Elderly group,79.0
Myeloma,Florida,2018,40-44 years,Female,F,22.0,632245.0,3.5,South,Adult age group,44.0
Myeloma,Florida,2018,45-49 years,Female,F,47.0,684212.0,6.9,South,Adult age group,49.0
Myeloma,Florida,2018,50-54 years,Female,F,59.0,713099.0,8.3,South,Middle age group,54.0
Myeloma,Florida,2018,55-59 years,Female,F,100.0,762358.0,13.1,South,Middle age group,59.0
Myeloma,Florida,2018,60-64 years ,Female,F,134.0,735173.0,18.2,South,Middle age group,64.0
Myeloma,Florida,2018,65-69 years,Female,F,195.0,681922.0,28.6,South,Elderly group,69.0
Myeloma,Florida,2018,70-74 years,Female,F,191.0,600543.0,31.8,South,Elderly group,74.0
Myeloma,Florida,2018,75-79 years,Female,F,174.0,450580.0,38.6,South,Elderly group,79.0
Myeloma,Florida,2018,80-84 years,Female,F,124.0,307954.0,40.3,South,Elderly group,84.0
Myeloma,Florida,2018,85+ years,Female,F,113.0,343183.0,32.9,South,Elderly group,89.0
Myeloma,Georgia,2018,45-49 years,Female,F,26.0,369829.0,7.0,South,Adult age group,49.0
Myeloma,Georgia,2018,50-54 years,Female,F,18.0,355946.0,5.1,South,Middle age group,54.0
Myeloma,Georgia,2018,55-59 years,Female,F,51.0,354617.0,14.4,South,Middle age group,59.0
Myeloma,Georgia,2018,60-64 years ,Female,F,63.0,319813.0,19.7,South,Middle age group,64.0
Myeloma,Georgia,2018,65-69 years,Female,F,82.0,272167.0,30.1,South,Elderly group,69.0
Myeloma,Georgia,2018,70-74 years,Female,F,63.0,215369.0,29.3,South,Elderly group,74.0
Myeloma,Georgia,2018,75-79 years,Female,F,76.0,145780.0,52.1,South,Elderly group,79.0
Myeloma,Georgia,2018,80-84 years,Female,F,39.0,93811.0,41.6,South,Elderly group,84.0
