Notes,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Year,Year Code,Age Groups,Age Groups Code,Sex,Sex Code,Count,Population,Crude Rate
,Non-Hodgkin Lymphoma,33041-33042,Alabama,1,2019,2019,65-69 years,65-69,Male,M,89,127679,69.7
,Non-Hodgkin Lymphoma,33041-33042,Alabama,1,2019,2019,70-74 years,70-74,Male,M,77,103250,74.6
,Non-Hodgkin Lymphoma,33041-33042,Alabama,1,2019,2019,75-79 years,75-79,Male,M,69,68256,101.1
,Non-Hodgkin Lymphoma,33041-33042,Alabama,1,2019,2019,80-84 years,80-84,Male,M,59,41242,143.1
,Non-Hodgkin Lymphoma,33041-33042,Alabama,1,2019,2019,85+ years,85+,Male,M,43,31390,137
,Non-Hodgkin Lymphoma,33041-33042,Arizona,4,2019,2019,45-49 years,45-49,Male,M,36,215421,16.7
,Non-Hodgkin Lymphoma,33041-33042,Arizona,4,2019,2019,50-54 years,50-54,Male,M,33,206772,16
,Non-Hodgkin Lymphoma,33041-33042,Arizona,4,2019,2019,55-59 years,55-59,Male,M,70,216293,32.4
,Non-Hodgkin Lymphoma,33041-33042,Arizona,4,2019,2019,60-64 years ,60-64,Male,M,76,204086,37.2
,Non-Hodgkin Lymphoma,33041-33042,Arizona,4,2019,2019,65-69 years,65-69,Male,M,83,184808,44.9
,Non-Hodgkin Lymphoma,33041-33042,Arizona,4,2019,2019,70-74 years,70-74,Male,M,107,166440,64.3
,Non-Hodgkin Lymphoma,33041-33042,Arizona,4,2019,2019,75-79 years,75-79,Male,M,94,118458,79.4
,Non-Hodgkin Lymphoma,33041-33042,Arizona,4,2019,2019,80-84 years,80-84,Male,M,85,74207,114.5
,Non-Hodgkin Lymphoma,33041-33042,Arizona,4,2019,2019,85+ years,85+,Male,M,57,61656,92.4
,Non-Hodgkin Lymphoma,33041-33042,Arkansas,5,2019,2019,50-54 years,50-54,Male,M,23,88545,26
,Non-Hodgkin Lymphoma,33041-33042,Arkansas,5,2019,2019,55-59 years,55-59,Male,M,36,96217,37.4
,Non-Hodgkin Lymphoma,33041-33042,Arkansas,5,2019,2019,60-64 years ,60-64,Male,M,53,89601,59.2
,Non-Hodgkin Lymphoma,33041-33042,Arkansas,5,2019,2019,65-69 years,65-69,Male,M,67,77133,86.9
,Non-Hodgkin Lymphoma,33041-33042,Arkansas,5,2019,2019,70-74 years,70-74,Male,M,70,63870,109.6
,Non-Hodgkin Lymphoma,33041-33042,Arkansas,5,2019,2019,75-79 years,75-79,Male,M,59,43754,134.8
,Non-Hodgkin Lymphoma,33041-33042,Arkansas,5,2019,2019,80-84 years,80-84,Male,M,43,27013,159.2
,Non-Hodgkin Lymphoma,33041-33042,Arkansas,5,2019,2019,85+ years,85+,Male,M,30,21692,138.3
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,5-9 years,05. Sep,Male,M,20,1267835,1.6
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,10-14 years,Oct 14,Male,M,23,1292746,1.8
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,15-19 years,15-19,Male,M,33,1291291,2.6
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,20-24 years,20-24,Male,M,33,1356036,2.4
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,25-29 years,25-29,Male,M,54,1599701,3.4
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,30-34 years,30-34,Male,M,81,1524187,5.3
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,35-39 years,35-39,Male,M,92,1414712,6.5
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,40-44 years,40-44,Male,M,122,1253698,9.7
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,45-49 years,45-49,Male,M,188,1250115,15
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,50-54 years,50-54,Male,M,241,1225041,19.7
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,55-59 years,55-59,Male,M,415,1230245,33.7
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,60-64 years ,60-64,Male,M,511,1097086,46.6
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,65-69 years,65-69,Male,M,596,883216,67.5
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,70-74 years,70-74,Male,M,580,686769,84.5
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,75-79 years,75-79,Male,M,562,451472,124.5
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,80-84 years,80-84,Male,M,389,291587,133.4
,Non-Hodgkin Lymphoma,33041-33042,California,6,2019,2019,85+ years,85+,Male,M,359,279780,128.3
,Non-Hodgkin Lymphoma,33041-33042,Colorado,8,2019,2019,35-39 years,35-39,Male,M,16,220341,7.3
,Non-Hodgkin Lymphoma,33041-33042,Colorado,8,2019,2019,45-49 years,45-49,Male,M,25,187227,13.4
,Non-Hodgkin Lymphoma,33041-33042,Colorado,8,2019,2019,50-54 years,50-54,Male,M,26,171196,15.2
,Non-Hodgkin Lymphoma,33041-33042,Colorado,8,2019,2019,55-59 years,55-59,Male,M,60,178711,33.6
,Non-Hodgkin Lymphoma,33041-33042,Colorado,8,2019,2019,60-64 years ,60-64,Male,M,77,168947,45.6
,Non-Hodgkin Lymphoma,33041-33042,Colorado,8,2019,2019,65-69 years,65-69,Male,M,86,141710,60.7
,Non-Hodgkin Lymphoma,33041-33042,Colorado,8,2019,2019,70-74 years,70-74,Male,M,95,107867,88.1
,Non-Hodgkin Lymphoma,33041-33042,Colorado,8,2019,2019,75-79 years,75-79,Male,M,75,65395,114.7
,Non-Hodgkin Lymphoma,33041-33042,Colorado,8,2019,2019,80-84 years,80-84,Male,M,65,38722,167.9
,Non-Hodgkin Lymphoma,33041-33042,Colorado,8,2019,2019,85+ years,85+,Male,M,45,33290,135.2
,Non-Hodgkin Lymphoma,33041-33042,Connecticut,9,2019,2019,45-49 years,45-49,Male,M,21,108896,19.3
,Non-Hodgkin Lymphoma,33041-33042,Connecticut,9,2019,2019,50-54 years,50-54,Male,M,36,121505,29.6
,Non-Hodgkin Lymphoma,33041-33042,Connecticut,9,2019,2019,55-59 years,55-59,Male,M,73,129605,56.3
,Non-Hodgkin Lymphoma,33041-33042,Connecticut,9,2019,2019,60-64 years ,60-64,Male,M,57,118388,48.1
,Non-Hodgkin Lymphoma,33041-33042,Connecticut,9,2019,2019,65-69 years,65-69,Male,M,73,92238,79.1
,Non-Hodgkin Lymphoma,33041-33042,Connecticut,9,2019,2019,70-74 years,70-74,Male,M,81,72253,112.1
,Non-Hodgkin Lymphoma,33041-33042,Connecticut,9,2019,2019,75-79 years,75-79,Male,M,69,49743,138.7
,Non-Hodgkin Lymphoma,33041-33042,Connecticut,9,2019,2019,80-84 years,80-84,Male,M,63,30646,205.6
,Non-Hodgkin Lymphoma,33041-33042,Connecticut,9,2019,2019,85+ years,85+,Male,M,56,31091,180.1
,Non-Hodgkin Lymphoma,33041-33042,Delaware,10,2019,2019,60-64 years ,60-64,Male,M,19,31842,59.7
,Non-Hodgkin Lymphoma,33041-33042,Delaware,10,2019,2019,65-69 years,65-69,Male,M,21,28192,74.5
,Non-Hodgkin Lymphoma,33041-33042,Delaware,10,2019,2019,70-74 years,70-74,Male,M,16,23798,67.2
,Non-Hodgkin Lymphoma,33041-33042,Florida,12,2019,2019,20-24 years,20-24,Male,M,23,641473,3.6
,Non-Hodgkin Lymphoma,33041-33042,Florida,12,2019,2019,25-29 years,25-29,Male,M,46,726018,6.3
,Non-Hodgkin Lymphoma,33041-33042,Florida,12,2019,2019,30-34 years,30-34,Male,M,41,703433,5.8
,Non-Hodgkin Lymphoma,33041-33042,Florida,12,2019,2019,35-39 years,35-39,Male,M,49,667063,7.3
,Non-Hodgkin Lymphoma,33041-33042,Florida,12,2019,2019,40-44 years,40-44,Male,M,54,624833,8.6
,Non-Hodgkin Lymphoma,33041-33042,Florida,12,2019,2019,45-49 years,45-49,Male,M,114,659172,17.3
,Non-Hodgkin Lymphoma,33041-33042,Florida,12,2019,2019,50-54 years,50-54,Male,M,200,669897,29.9
,Non-Hodgkin Lymphoma,33041-33042,Florida,12,2019,2019,55-59 years,55-59,Male,M,256,716609,35.7
,Non-Hodgkin Lymphoma,33041-33042,Florida,12,2019,2019,60-64 years ,60-64,Male,M,376,658745,57.1
,Non-Hodgkin Lymphoma,33041-33042,Florida,12,2019,2019,65-69 years,65-69,Male,M,508,592858,85.7
,Non-Hodgkin Lymphoma,33041-33042,Florida,12,2019,2019,70-74 years,70-74,Male,M,536,539336,99.4
,Non-Hodgkin Lymphoma,33041-33042,Florida,12,2019,2019,75-79 years,75-79,Male,M,489,398458,122.7
,Non-Hodgkin Lymphoma,33041-33042,Florida,12,2019,2019,80-84 years,80-84,Male,M,386,260167,148.4
,Non-Hodgkin Lymphoma,33041-33042,Florida,12,2019,2019,85+ years,85+,Male,M,300,236724,126.7
,Non-Hodgkin Lymphoma,33041-33042,Georgia,13,2019,2019,25-29 years,25-29,Male,M,19,387120,4.9
,Non-Hodgkin Lymphoma,33041-33042,Georgia,13,2019,2019,30-34 years,30-34,Male,M,24,355769,6.7
,Non-Hodgkin Lymphoma,33041-33042,Georgia,13,2019,2019,35-39 years,35-39,Male,M,27,343438,7.9
,Non-Hodgkin Lymphoma,33041-33042,Georgia,13,2019,2019,40-44 years,40-44,Male,M,31,323206,9.6
,Non-Hodgkin Lymphoma,33041-33042,Georgia,13,2019,2019,45-49 years,45-49,Male,M,41,344476,11.9
,Non-Hodgkin Lymphoma,33041-33042,Georgia,13,2019,2019,50-54 years,50-54,Male,M,71,334207,21.2
,Non-Hodgkin Lymphoma,33041-33042,Georgia,13,2019,2019,55-59 years,55-59,Male,M,105,332388,31.6
,Non-Hodgkin Lymphoma,33041-33042,Georgia,13,2019,2019,60-64 years ,60-64,Male,M,128,290233,44.1
,Non-Hodgkin Lymphoma,33041-33042,Georgia,13,2019,2019,65-69 years,65-69,Male,M,153,233236,65.6
,Non-Hodgkin Lymphoma,33041-33042,Georgia,13,2019,2019,70-74 years,70-74,Male,M,174,187877,92.6
,Non-Hodgkin Lymphoma,33041-33042,Georgia,13,2019,2019,75-79 years,75-79,Male,M,127,120727,105.2
,Non-Hodgkin Lymphoma,33041-33042,Georgia,13,2019,2019,80-84 years,80-84,Male,M,88,68618,128.2
,Non-Hodgkin Lymphoma,33041-33042,Georgia,13,2019,2019,85+ years,85+,Male,M,57,51922,109.8
,Non-Hodgkin Lymphoma,33041-33042,Hawaii,15,2019,2019,65-69 years,65-69,Male,M,23,40046,57.4
,Non-Hodgkin Lymphoma,33041-33042,Hawaii,15,2019,2019,70-74 years,70-74,Male,M,29,33130,87.5
,Non-Hodgkin Lymphoma,33041-33042,Hawaii,15,2019,2019,75-79 years,75-79,Male,M,19,21148,89.8
,Non-Hodgkin Lymphoma,33041-33042,Hawaii,15,2019,2019,85+ years,85+,Male,M,20,15371,130.1
,Non-Hodgkin Lymphoma,33041-33042,Idaho,16,2019,2019,55-59 years,55-59,Male,M,17,53678,31.7
,Non-Hodgkin Lymphoma,33041-33042,Idaho,16,2019,2019,60-64 years ,60-64,Male,M,31,52681,58.8
,Non-Hodgkin Lymphoma,33041-33042,Idaho,16,2019,2019,65-69 years,65-69,Male,M,31,47651,65.1
,Non-Hodgkin Lymphoma,33041-33042,Idaho,16,2019,2019,70-74 years,70-74,Male,M,34,38490,88.3
,Non-Hodgkin Lymphoma,33041-33042,Idaho,16,2019,2019,75-79 years,75-79,Male,M,31,25161,123.2
,Non-Hodgkin Lymphoma,33041-33042,Idaho,16,2019,2019,85+ years,85+,Male,M,21,11761,178.6
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,25-29 years,25-29,Male,M,20,455137,4.4
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,30-34 years,30-34,Male,M,16,435793,3.7
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,35-39 years,35-39,Male,M,34,425776,8
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,40-44 years,40-44,Male,M,35,392531,8.9
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,45-49 years,45-49,Male,M,54,395188,13.7
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,50-54 years,50-54,Male,M,88,394391,22.3
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,55-59 years,55-59,Male,M,139,417135,33.3
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,60-64 years ,60-64,Male,M,177,386164,45.8
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,65-69 years,65-69,Male,M,252,311681,80.9
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,70-74 years,70-74,Male,M,238,235792,100.9
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,75-79 years,75-79,Male,M,203,157009,129.3
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,80-84 years,80-84,Male,M,149,99464,149.8
,Non-Hodgkin Lymphoma,33041-33042,Illinois,17,2019,2019,85+ years,85+,Male,M,125,90831,137.6
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,40-44 years,40-44,Male,M,17,200415,8.5
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,45-49 years,45-49,Male,M,31,206319,15
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,50-54 years,50-54,Male,M,42,203418,20.6
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,55-59 years,55-59,Male,M,62,219431,28.3
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,60-64 years ,60-64,Male,M,97,206150,47.1
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,65-69 years,65-69,Male,M,96,169871,56.5
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,70-74 years,70-74,Male,M,105,128756,81.5
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,75-79 years,75-79,Male,M,85,84547,100.5
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,80-84 years,80-84,Male,M,63,51872,121.5
,Non-Hodgkin Lymphoma,33041-33042,Indiana,18,2019,2019,85+ years,85+,Male,M,48,44421,108.1
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,50-54 years,50-54,Male,M,20,92514,21.6
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,55-59 years,55-59,Male,M,37,104175,35.5
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,60-64 years ,60-64,Male,M,52,101015,51.5
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,65-69 years,65-69,Male,M,76,86354,88
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,70-74 years,70-74,Male,M,63,63841,98.7
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,75-79 years,75-79,Male,M,77,42757,180.1
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,80-84 years,80-84,Male,M,57,28631,199.1
,Non-Hodgkin Lymphoma,33041-33042,Iowa,19,2019,2019,85+ years,85+,Male,M,43,26697,161.1
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,45-49 years,45-49,Male,M,21,82264,25.5
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,50-54 years,50-54,Male,M,28,81754,34.2
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,55-59 years,55-59,Male,M,25,92206,27.1
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,60-64 years ,60-64,Male,M,42,88946,47.2
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,65-69 years,65-69,Male,M,61,74294,82.1
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,70-74 years,70-74,Male,M,61,55904,109.1
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,75-79 years,75-79,Male,M,46,36331,126.6
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,80-84 years,80-84,Male,M,27,23789,113.5
,Non-Hodgkin Lymphoma,33041-33042,Kansas,20,2019,2019,85+ years,85+,Male,M,42,23180,181.2
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,45-49 years,45-49,Male,M,23,139582,16.5
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,50-54 years,50-54,Male,M,42,139402,30.1
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,55-59 years,55-59,Male,M,46,148487,31
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,60-64 years ,60-64,Male,M,76,139014,54.7
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,65-69 years,65-69,Male,M,78,117229,66.5
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,70-74 years,70-74,Male,M,76,92351,82.3
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,75-79 years,75-79,Male,M,83,59417,139.7
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,80-84 years,80-84,Male,M,52,35964,144.6
,Non-Hodgkin Lymphoma,33041-33042,Kentucky,21,2019,2019,85+ years,85+,Male,M,25,27963,89.4
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,45-49 years,45-49,Male,M,23,131978,17.4
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,50-54 years,50-54,Male,M,35,135230,25.9
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,55-59 years,55-59,Male,M,57,147858,38.6
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,60-64 years ,60-64,Male,M,50,141022,35.5
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,65-69 years,65-69,Male,M,80,116241,68.8
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,70-74 years,70-74,Male,M,79,89033,88.7
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,75-79 years,75-79,Male,M,77,57329,134.3
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,80-84 years,80-84,Male,M,42,35036,119.9
,Non-Hodgkin Lymphoma,33041-33042,Louisiana,22,2019,2019,85+ years,85+,Male,M,32,28679,111.6
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,55-59 years,55-59,Male,M,21,51487,40.8
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,60-64 years ,60-64,Male,M,37,50712,73
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,65-69 years,65-69,Male,M,36,44749,80.4
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,70-74 years,70-74,Male,M,30,36332,82.6
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,75-79 years,75-79,Male,M,35,23197,150.9
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,80-84 years,80-84,Male,M,19,13800,137.7
,Non-Hodgkin Lymphoma,33041-33042,Maine,23,2019,2019,85+ years,85+,Male,M,18,12088,148.9
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,40-44 years,40-44,Male,M,20,181417,11
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,45-49 years,45-49,Male,M,33,185540,17.8
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,50-54 years,50-54,Male,M,42,196128,21.4
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,55-59 years,55-59,Male,M,64,206327,31
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,60-64 years ,60-64,Male,M,94,182828,51.4
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,65-69 years,65-69,Male,M,92,143139,64.3
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,70-74 years,70-74,Male,M,107,112376,95.2
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,75-79 years,75-79,Male,M,81,73831,109.7
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,80-84 years,80-84,Male,M,62,44831,138.3
,Non-Hodgkin Lymphoma,33041-33042,Maryland,24,2019,2019,85+ years,85+,Male,M,54,41232,131
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,40-44 years,40-44,Male,M,27,197646,13.7
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,45-49 years,45-49,Male,M,25,207666,12
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,50-54 years,50-54,Male,M,53,225247,23.5
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,55-59 years,55-59,Male,M,89,237611,37.5
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,60-64 years ,60-64,Male,M,115,216000,53.2
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,65-69 years,65-69,Male,M,115,174709,65.8
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,70-74 years,70-74,Male,M,138,136592,101
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,75-79 years,75-79,Male,M,115,88472,130
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,80-84 years,80-84,Male,M,84,54513,154.1
,Non-Hodgkin Lymphoma,33041-33042,Massachusetts,25,2019,2019,85+ years,85+,Male,M,76,53639,141.7
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,30-34 years,30-34,Male,M,16,310952,5.1
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,35-39 years,35-39,Male,M,25,299564,8.3
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,40-44 years,40-44,Male,M,32,280400,11.4
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,45-49 years,45-49,Male,M,47,301904,15.6
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,50-54 years,50-54,Male,M,70,317052,22.1
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,55-59 years,55-59,Male,M,107,346483,30.9
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,60-64 years ,60-64,Male,M,182,333643,54.5
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,65-69 years,65-69,Male,M,182,277951,65.5
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,70-74 years,70-74,Male,M,210,211655,99.2
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,75-79 years,75-79,Male,M,190,141290,134.5
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,80-84 years,80-84,Male,M,112,85115,131.6
,Non-Hodgkin Lymphoma,33041-33042,Michigan,26,2019,2019,85+ years,85+,Male,M,96,74303,129.2
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,35-39 years,35-39,Male,M,18,197446,9.1
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,45-49 years,45-49,Male,M,30,166140,18.1
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,50-54 years,50-54,Male,M,54,172437,31.3
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,55-59 years,55-59,Male,M,66,194539,33.9
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,60-64 years ,60-64,Male,M,81,180058,45
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,65-69 years,65-69,Male,M,131,147771,88.7
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,70-74 years,70-74,Male,M,126,108169,116.5
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,75-79 years,75-79,Male,M,96,72620,132.2
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,80-84 years,80-84,Male,M,88,46565,189
,Non-Hodgkin Lymphoma,33041-33042,Minnesota,27,2019,2019,85+ years,85+,Male,M,78,43604,178.9
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,50-54 years,50-54,Male,M,17,86914,19.6
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,55-59 years,55-59,Male,M,28,94103,29.8
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,60-64 years ,60-64,Male,M,36,88873,40.5
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,65-69 years,65-69,Male,M,53,74130,71.5
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,70-74 years,70-74,Male,M,65,58965,110.2
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,75-79 years,75-79,Male,M,44,38014,115.7
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,80-84 years,80-84,Male,M,38,23539,161.4
,Non-Hodgkin Lymphoma,33041-33042,Mississippi,28,2019,2019,85+ years,85+,Male,M,29,17329,167.3
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,35-39 years,35-39,Male,M,16,197469,8.1
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,40-44 years,40-44,Male,M,16,177252,9
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,45-49 years,45-49,Male,M,21,179336,11.7
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,50-54 years,50-54,Male,M,49,181452,27
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,55-59 years,55-59,Male,M,76,207419,36.6
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,60-64 years ,60-64,Male,M,73,194001,37.6
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,65-69 years,65-69,Male,M,109,159404,68.4
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,70-74 years,70-74,Male,M,116,124964,92.8
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,75-79 years,75-79,Male,M,92,85809,107.2
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,80-84 years,80-84,Male,M,63,53255,118.3
,Non-Hodgkin Lymphoma,33041-33042,Missouri,29,2019,2019,85+ years,85+,Male,M,54,46621,115.8
,Non-Hodgkin Lymphoma,33041-33042,Montana,30,2019,2019,60-64 years ,60-64,Male,M,16,37323,42.9
,Non-Hodgkin Lymphoma,33041-33042,Montana,30,2019,2019,65-69 years,65-69,Male,M,28,34784,80.5
,Non-Hodgkin Lymphoma,33041-33042,Montana,30,2019,2019,70-74 years,70-74,Male,M,20,26957,74.2
,Non-Hodgkin Lymphoma,33041-33042,Montana,30,2019,2019,75-79 years,75-79,Male,M,26,17568,148
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,55-59 years,55-59,Male,M,28,61137,45.8
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,60-64 years ,60-64,Male,M,37,58457,63.3
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,65-69 years,65-69,Male,M,27,48793,55.3
,Non-Hodgkin Lymphoma,33041-33042,Nebraska,31,2019,2019,70-74 years,70-74,Male,M,48,36439,131.7
