Notes,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Year,Year Code,Age Groups,Age Groups Code,Sex,Sex Code,Count
,Gallbladder,21080,Michigan,26,2019,2019,70-74 years,70-74,Female,F,18
,Gallbladder,21080,New Jersey,34,2019,2019,70-74 years,70-74,Female,F,16
,Gallbladder,21080,New Jersey,34,2019,2019,85+ years,85+,Female,F,18
,Gallbladder,21080,New York,36,2019,2019,60-64 years ,60-64,Female,F,17
,Gallbladder,21080,New York,36,2019,2019,65-69 years,65-69,Female,F,36
,Gallbladder,21080,New York,36,2019,2019,65-69 years,65-69,Male,M,20
,Gallbladder,21080,New York,36,2019,2019,70-74 years,70-74,Female,F,38
,Gallbladder,21080,New York,36,2019,2019,75-79 years,75-79,Female,F,40
,Gallbladder,21080,New York,36,2019,2019,75-79 years,75-79,Male,M,23
,Gallbladder,21080,New York,36,2019,2019,80-84 years,80-84,Female,F,30
,Gallbladder,21080,New York,36,2019,2019,80-84 years,80-84,Male,M,17
,Gallbladder,21080,New York,36,2019,2019,85+ years,85+,Female,F,40
,Gallbladder,21080,North Carolina,37,2019,2019,85+ years,85+,Female,F,16
,Gallbladder,21080,Ohio,39,2019,2019,75-79 years,75-79,Female,F,16
,Gallbladder,21080,Ohio,39,2019,2019,85+ years,85+,Female,F,16
,Gallbladder,21080,Pennsylvania,42,2019,2019,60-64 years ,60-64,Female,F,16
,Gallbladder,21080,Pennsylvania,42,2019,2019,65-69 years,65-69,Female,F,18
,Gallbladder,21080,Pennsylvania,42,2019,2019,70-74 years,70-74,Female,F,17
,Gallbladder,21080,Pennsylvania,42,2019,2019,75-79 years,75-79,Female,F,19
,Gallbladder,21080,Pennsylvania,42,2019,2019,85+ years,85+,Female,F,17
,Gallbladder,21080,Texas,48,2019,2019,50-54 years,50-54,Female,F,19
,Gallbladder,21080,Texas,48,2019,2019,55-59 years,55-59,Female,F,27
,Gallbladder,21080,Texas,48,2019,2019,60-64 years ,60-64,Female,F,42
,Gallbladder,21080,Texas,48,2019,2019,60-64 years ,60-64,Male,M,17
,Gallbladder,21080,Texas,48,2019,2019,65-69 years,65-69,Female,F,38
,Gallbladder,21080,Texas,48,2019,2019,65-69 years,65-69,Male,M,17
,Gallbladder,21080,Texas,48,2019,2019,70-74 years,70-74,Female,F,43
,Gallbladder,21080,Texas,48,2019,2019,70-74 years,70-74,Male,M,22
,Gallbladder,21080,Texas,48,2019,2019,75-79 years,75-79,Female,F,30
,Gallbladder,21080,Texas,48,2019,2019,75-79 years,75-79,Male,M,20
,Gallbladder,21080,Texas,48,2019,2019,85+ years,85+,Female,F,30
,Gallbladder,21080,Washington,53,2019,2019,75-79 years,75-79,Female,F,16
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,35-39 years,35-39,Female,F,17
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,35-39 years,35-39,Male,M,20
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,40-44 years,40-44,Male,M,34
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,45-49 years,45-49,Female,F,24
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,45-49 years,45-49,Male,M,66
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,50-54 years,50-54,Female,F,24
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,50-54 years,50-54,Male,M,52
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,55-59 years,55-59,Female,F,33
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,55-59 years,55-59,Male,M,100
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,60-64 years ,60-64,Female,F,56
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,60-64 years ,60-64,Male,M,121
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,65-69 years,65-69,Female,F,73
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,65-69 years,65-69,Male,M,141
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,70-74 years,70-74,Female,F,64
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,70-74 years,70-74,Male,M,109
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,75-79 years,75-79,Female,F,45
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,75-79 years,75-79,Male,M,65
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,80-84 years,80-84,Female,F,25
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,80-84 years,80-84,Male,M,40
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,85+ years,85+,Female,F,26
,Kidney and Renal Pelvis,29020,Alabama,1,2019,2019,85+ years,85+,Male,M,27
,Kidney and Renal Pelvis,29020,Alaska,2,2019,2019,65-69 years,65-69,Male,M,16
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,35-39 years,35-39,Female,F,18
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,35-39 years,35-39,Male,M,17
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,40-44 years,40-44,Female,F,19
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,40-44 years,40-44,Male,M,36
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,45-49 years,45-49,Female,F,19
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,45-49 years,45-49,Male,M,58
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,50-54 years,50-54,Female,F,26
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,50-54 years,50-54,Male,M,68
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,55-59 years,55-59,Female,F,46
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,55-59 years,55-59,Male,M,94
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,60-64 years ,60-64,Female,F,58
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,60-64 years ,60-64,Male,M,108
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,65-69 years,65-69,Female,F,65
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,65-69 years,65-69,Male,M,121
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,70-74 years,70-74,Female,F,68
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,70-74 years,70-74,Male,M,144
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,75-79 years,75-79,Female,F,61
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,75-79 years,75-79,Male,M,121
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,80-84 years,80-84,Female,F,38
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,80-84 years,80-84,Male,M,67
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,85+ years,85+,Female,F,23
,Kidney and Renal Pelvis,29020,Arizona,4,2019,2019,85+ years,85+,Male,M,30
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,35-39 years,35-39,Male,M,17
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,45-49 years,45-49,Female,F,25
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,45-49 years,45-49,Male,M,25
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,50-54 years,50-54,Female,F,35
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,50-54 years,50-54,Male,M,40
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,55-59 years,55-59,Female,F,36
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,55-59 years,55-59,Male,M,71
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,60-64 years ,60-64,Female,F,53
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,60-64 years ,60-64,Male,M,88
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,65-69 years,65-69,Female,F,46
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,65-69 years,65-69,Male,M,70
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,70-74 years,70-74,Female,F,38
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,70-74 years,70-74,Male,M,80
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,75-79 years,75-79,Female,F,27
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,75-79 years,75-79,Male,M,57
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,80-84 years,80-84,Female,F,24
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,80-84 years,80-84,Male,M,28
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,85+ years,85+,Female,F,22
,Kidney and Renal Pelvis,29020,Arkansas,5,2019,2019,85+ years,85+,Male,M,20
,Kidney and Renal Pelvis,29020,California,6,2019,2019,25-29 years,25-29,Male,M,23
,Kidney and Renal Pelvis,29020,California,6,2019,2019,30-34 years,30-34,Female,F,35
,Kidney and Renal Pelvis,29020,California,6,2019,2019,30-34 years,30-34,Male,M,47
,Kidney and Renal Pelvis,29020,California,6,2019,2019,35-39 years,35-39,Female,F,42
,Kidney and Renal Pelvis,29020,California,6,2019,2019,35-39 years,35-39,Male,M,94
,Kidney and Renal Pelvis,29020,California,6,2019,2019,40-44 years,40-44,Female,F,89
,Kidney and Renal Pelvis,29020,California,6,2019,2019,40-44 years,40-44,Male,M,178
,Kidney and Renal Pelvis,29020,California,6,2019,2019,45-49 years,45-49,Female,F,121
,Kidney and Renal Pelvis,29020,California,6,2019,2019,45-49 years,45-49,Male,M,243
,Kidney and Renal Pelvis,29020,California,6,2019,2019,50-54 years,50-54,Female,F,197
,Kidney and Renal Pelvis,29020,California,6,2019,2019,50-54 years,50-54,Male,M,312
,Kidney and Renal Pelvis,29020,California,6,2019,2019,55-59 years,55-59,Female,F,276
,Kidney and Renal Pelvis,29020,California,6,2019,2019,55-59 years,55-59,Male,M,495
,Kidney and Renal Pelvis,29020,California,6,2019,2019,60-64 years ,60-64,Female,F,318
,Kidney and Renal Pelvis,29020,California,6,2019,2019,60-64 years ,60-64,Male,M,683
,Kidney and Renal Pelvis,29020,California,6,2019,2019,65-69 years,65-69,Female,F,344
,Kidney and Renal Pelvis,29020,California,6,2019,2019,65-69 years,65-69,Male,M,695
,Kidney and Renal Pelvis,29020,California,6,2019,2019,70-74 years,70-74,Female,F,338
,Kidney and Renal Pelvis,29020,California,6,2019,2019,70-74 years,70-74,Male,M,601
,Kidney and Renal Pelvis,29020,California,6,2019,2019,75-79 years,75-79,Female,F,261
,Kidney and Renal Pelvis,29020,California,6,2019,2019,75-79 years,75-79,Male,M,453
,Kidney and Renal Pelvis,29020,California,6,2019,2019,80-84 years,80-84,Female,F,207
,Kidney and Renal Pelvis,29020,California,6,2019,2019,80-84 years,80-84,Male,M,294
,Kidney and Renal Pelvis,29020,California,6,2019,2019,85+ years,85+,Female,F,170
,Kidney and Renal Pelvis,29020,California,6,2019,2019,85+ years,85+,Male,M,201
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,40-44 years,40-44,Male,M,24
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,45-49 years,45-49,Female,F,16
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,45-49 years,45-49,Male,M,35
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,50-54 years,50-54,Female,F,23
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,50-54 years,50-54,Male,M,58
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,55-59 years,55-59,Female,F,41
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,55-59 years,55-59,Male,M,78
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,60-64 years ,60-64,Female,F,40
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,60-64 years ,60-64,Male,M,84
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,65-69 years,65-69,Female,F,60
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,65-69 years,65-69,Male,M,100
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,70-74 years,70-74,Female,F,45
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,70-74 years,70-74,Male,M,82
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,75-79 years,75-79,Female,F,42
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,75-79 years,75-79,Male,M,62
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,80-84 years,80-84,Female,F,25
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,80-84 years,80-84,Male,M,28
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,85+ years,85+,Female,F,28
,Kidney and Renal Pelvis,29020,Colorado,8,2019,2019,85+ years,85+,Male,M,34
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,40-44 years,40-44,Male,M,24
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,45-49 years,45-49,Male,M,21
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,50-54 years,50-54,Female,F,19
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,50-54 years,50-54,Male,M,44
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,55-59 years,55-59,Female,F,29
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,55-59 years,55-59,Male,M,56
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,60-64 years ,60-64,Female,F,37
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,60-64 years ,60-64,Male,M,75
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,65-69 years,65-69,Female,F,39
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,65-69 years,65-69,Male,M,71
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,70-74 years,70-74,Female,F,46
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,70-74 years,70-74,Male,M,62
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,75-79 years,75-79,Female,F,33
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,75-79 years,75-79,Male,M,62
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,80-84 years,80-84,Female,F,23
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,80-84 years,80-84,Male,M,28
,Kidney and Renal Pelvis,29020,Connecticut,9,2019,2019,85+ years,85+,Female,F,25
,Kidney and Renal Pelvis,29020,Delaware,10,2019,2019,60-64 years ,60-64,Male,M,22
,Kidney and Renal Pelvis,29020,Delaware,10,2019,2019,65-69 years,65-69,Male,M,30
,Kidney and Renal Pelvis,29020,Delaware,10,2019,2019,70-74 years,70-74,Male,M,29
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,30-34 years,30-34,Female,F,17
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,30-34 years,30-34,Male,M,21
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,35-39 years,35-39,Female,F,34
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,35-39 years,35-39,Male,M,38
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,40-44 years,40-44,Female,F,42
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,40-44 years,40-44,Male,M,82
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,45-49 years,45-49,Female,F,57
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,45-49 years,45-49,Male,M,167
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,50-54 years,50-54,Female,F,97
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,50-54 years,50-54,Male,M,203
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,55-59 years,55-59,Female,F,176
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,55-59 years,55-59,Male,M,305
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,60-64 years ,60-64,Female,F,200
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,60-64 years ,60-64,Male,M,384
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,65-69 years,65-69,Female,F,263
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,65-69 years,65-69,Male,M,455
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,70-74 years,70-74,Female,F,248
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,70-74 years,70-74,Male,M,466
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,75-79 years,75-79,Female,F,194
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,75-79 years,75-79,Male,M,359
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,80-84 years,80-84,Female,F,143
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,80-84 years,80-84,Male,M,194
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,85+ years,85+,Female,F,139
,Kidney and Renal Pelvis,29020,Florida,12,2019,2019,85+ years,85+,Male,M,160
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,35-39 years,35-39,Female,F,18
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,35-39 years,35-39,Male,M,23
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,40-44 years,40-44,Female,F,35
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,40-44 years,40-44,Male,M,47
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,45-49 years,45-49,Female,F,42
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,45-49 years,45-49,Male,M,80
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,50-54 years,50-54,Female,F,58
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,50-54 years,50-54,Male,M,111
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,55-59 years,55-59,Female,F,91
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,55-59 years,55-59,Male,M,178
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,60-64 years ,60-64,Female,F,105
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,60-64 years ,60-64,Male,M,174
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,65-69 years,65-69,Female,F,127
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,65-69 years,65-69,Male,M,242
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,70-74 years,70-74,Female,F,135
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,70-74 years,70-74,Male,M,199
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,75-79 years,75-79,Female,F,71
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,75-79 years,75-79,Male,M,124
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,80-84 years,80-84,Female,F,37
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,80-84 years,80-84,Male,M,79
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,85+ years,85+,Female,F,34
,Kidney and Renal Pelvis,29020,Georgia,13,2019,2019,85+ years,85+,Male,M,39
,Kidney and Renal Pelvis,29020,Hawaii,15,2019,2019,55-59 years,55-59,Male,M,20
,Kidney and Renal Pelvis,29020,Hawaii,15,2019,2019,60-64 years ,60-64,Male,M,24
,Kidney and Renal Pelvis,29020,Hawaii,15,2019,2019,65-69 years,65-69,Male,M,34
,Kidney and Renal Pelvis,29020,Hawaii,15,2019,2019,70-74 years,70-74,Male,M,21
,Kidney and Renal Pelvis,29020,Hawaii,15,2019,2019,75-79 years,75-79,Male,M,24
,Kidney and Renal Pelvis,29020,Idaho,16,2019,2019,45-49 years,45-49,Male,M,20
,Kidney and Renal Pelvis,29020,Idaho,16,2019,2019,55-59 years,55-59,Female,F,17
,Kidney and Renal Pelvis,29020,Idaho,16,2019,2019,55-59 years,55-59,Male,M,27
,Kidney and Renal Pelvis,29020,Idaho,16,2019,2019,60-64 years ,60-64,Male,M,39
,Kidney and Renal Pelvis,29020,Idaho,16,2019,2019,65-69 years,65-69,Female,F,30
,Kidney and Renal Pelvis,29020,Idaho,16,2019,2019,65-69 years,65-69,Male,M,38
,Kidney and Renal Pelvis,29020,Idaho,16,2019,2019,70-74 years,70-74,Female,F,24
,Kidney and Renal Pelvis,29020,Idaho,16,2019,2019,70-74 years,70-74,Male,M,39
,Kidney and Renal Pelvis,29020,Idaho,16,2019,2019,75-79 years,75-79,Female,F,26
,Kidney and Renal Pelvis,29020,Idaho,16,2019,2019,75-79 years,75-79,Male,M,23
,Kidney and Renal Pelvis,29020,Idaho,16,2019,2019,80-84 years,80-84,Male,M,26
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,35-39 years,35-39,Female,F,27
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,35-39 years,35-39,Male,M,29
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,40-44 years,40-44,Female,F,30
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,40-44 years,40-44,Male,M,59
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,45-49 years,45-49,Female,F,56
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,45-49 years,45-49,Male,M,106
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,50-54 years,50-54,Female,F,71
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,50-54 years,50-54,Male,M,143
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,55-59 years,55-59,Female,F,107
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,55-59 years,55-59,Male,M,232
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,60-64 years ,60-64,Female,F,164
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,60-64 years ,60-64,Male,M,278
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,65-69 years,65-69,Female,F,147
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,65-69 years,65-69,Male,M,276
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,70-74 years,70-74,Female,F,134
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,70-74 years,70-74,Male,M,216
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,75-79 years,75-79,Female,F,101
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,75-79 years,75-79,Male,M,194
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,80-84 years,80-84,Female,F,72
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,80-84 years,80-84,Male,M,99
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,85+ years,85+,Female,F,85
,Kidney and Renal Pelvis,29020,Illinois,17,2019,2019,85+ years,85+,Male,M,80
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,35-39 years,35-39,Male,M,23
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,40-44 years,40-44,Male,M,30
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,45-49 years,45-49,Female,F,39
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,45-49 years,45-49,Male,M,55
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,50-54 years,50-54,Female,F,36
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,50-54 years,50-54,Male,M,73
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,55-59 years,55-59,Female,F,52
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,55-59 years,55-59,Male,M,101
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,60-64 years ,60-64,Female,F,70
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,60-64 years ,60-64,Male,M,133
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,65-69 years,65-69,Female,F,76
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,65-69 years,65-69,Male,M,138
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,70-74 years,70-74,Female,F,59
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,70-74 years,70-74,Male,M,125
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,75-79 years,75-79,Female,F,49
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,75-79 years,75-79,Male,M,80
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,80-84 years,80-84,Female,F,31
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,80-84 years,80-84,Male,M,48
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,85+ years,85+,Female,F,38
,Kidney and Renal Pelvis,29020,Indiana,18,2019,2019,85+ years,85+,Male,M,29
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,50-54 years,50-54,Female,F,19
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,50-54 years,50-54,Male,M,33
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,55-59 years,55-59,Female,F,33
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,55-59 years,55-59,Male,M,60
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,60-64 years ,60-64,Female,F,43
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,60-64 years ,60-64,Male,M,87
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,65-69 years,65-69,Female,F,46
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,65-69 years,65-69,Male,M,93
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,70-74 years,70-74,Female,F,35
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,70-74 years,70-74,Male,M,75
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,75-79 years,75-79,Female,F,21
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,75-79 years,75-79,Male,M,32
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,80-84 years,80-84,Female,F,23
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,80-84 years,80-84,Male,M,31
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,85+ years,85+,Female,F,17
,Kidney and Renal Pelvis,29020,Iowa,19,2019,2019,85+ years,85+,Male,M,28
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,40-44 years,40-44,Male,M,17
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,45-49 years,45-49,Male,M,22
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,50-54 years,50-54,Female,F,22
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,50-54 years,50-54,Male,M,30
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,55-59 years,55-59,Male,M,46
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,60-64 years ,60-64,Female,F,33
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,60-64 years ,60-64,Male,M,65
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,65-69 years,65-69,Female,F,36
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,65-69 years,65-69,Male,M,70
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,70-74 years,70-74,Female,F,25
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,70-74 years,70-74,Male,M,58
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,75-79 years,75-79,Female,F,25
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,75-79 years,75-79,Male,M,31
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,80-84 years,80-84,Female,F,17
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,80-84 years,80-84,Male,M,26
,Kidney and Renal Pelvis,29020,Kansas,20,2019,2019,85+ years,85+,Female,F,19
,Kidney and Renal Pelvis,29020,Kentucky,21,2019,2019,40-44 years,40-44,Female,F,20
